,AIDS Report Number,Event City,Aircraft Make,Aircraft Model,Primary Flight Type,Flight Conduct Code,Flight Plan Filed Code,Total Fatalities,Total Injuries,PIC Certificate Type,PIC Flight Time Total Hrs,PIC Flight Time Total Make-Model
1684,20060124000969I,HYANNIS,CESSNA,CE-402,AIR TAXI (NON-SCHEDULED),AIR TAXI/COMMUTER,UNKNOWN,0,0,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,11000.0,4000.0
1685,20060130001289I,BOSTON,AIRBUS,A319,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,,2824.522308892356,547.8739469578783
1686,20060206002709I,BOSTON,BOEING,777,SCHEDULED AIR CARRIER,FOREIGN AIR CARRIER,UNKNOWN,0,0,AIRLINE TRANSPORT,7628.0,272.0
1687,20060310002719I,BEDFORD,MOONEY,M-20,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,0,0,COMMERCIAL PILOT,1300.0,1100.0
1688,20060322004329I,BOSTON,AIRBUS,A319,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,2,,2824.522308892356,547.8739469578783
1689,20060324004339I,LAWRENCE,CESSNA,CE-172,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,0,0,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,31575.0,2000.0
1690,20060504007879I,NEW BEDFORD,CESSNA,CE-172,INSTRUCTION,GENERAL OPERATING RULES,UNKNOWN,0,0,COMMERCIAL PILOT FLIGHT INSTRUCTOR,1020.0,400.0
1691,20060510007639I,HYANNIS,PIPER,PA-34,AIR TAXI (NON-SCHEDULED),GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,0,0,COMMERCIAL PILOT FLIGHT INSTRUCTOR,1370.0,22.0
1692,20060517008449I,NORWOOD,PIPER,PA-60,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,0,0,COMMERCIAL PILOT,4000.0,1500.0
1693,20060524007909I,NANTUCKET,CIRRUS,CIRRUS-SR,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,0,0,PRIVATE PILOT,105.0,40.0
1694,20060531009129I,HYANNIS,RAYTHEON,99,AIR TAXI (NON-SCHEDULED),AIR TAXI/COMMUTER,UNKNOWN,0,0,AIRLINE TRANSPORT,5500.0,35.0
1695,20060606011229I,LAWRENCE,CESSNA,CE-172,INSTRUCTION,GENERAL OPERATING RULES,NONE,0,0,COMMERCIAL PILOT FLIGHT INSTRUCTOR,1050.0,950.0
1696,20060612013849I,BEVERLY,CESSNA,CE-152,INSTRUCTION,GENERAL OPERATING RULES,NONE,0,0,COMMERCIAL PILOT FLIGHT INSTRUCTOR,700.0,50.0
1697,20060709013709I,EDGARTOWN,WACO,WACO-UPF,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,0,0,AIRLINE TRANSPORT,3163.0,63.0
1698,20060725016289I,BOSTON,BOEING,717,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,,2824.522308892356,547.8739469578783
1699,20060804017989I,NANTUCKET,MOONEY,M-20,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,0,0,PRIVATE PILOT,1391.0,146.0
1700,20060810016209I,HYANNIS,SOCATA,TBM-700,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,0,0,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,4800.0,100.0
1701,20060817018069I,BEDFORD,LANCAIR,LC-320,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,0,0,COMMERCIAL PILOT FLIGHT INSTRUCTOR,7400.0,1400.0
1702,20060818018189I,NANTUCKET,CESSNA,CE-310,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,0,0,COMMERCIAL PILOT FLIGHT INSTRUCTOR,1250.0,56.0
1703,20060907018949I,WAREHAM,,,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,0,0,COMMERCIAL PILOT,2000.0,530.0
1704,20060920019759I,HYANNIS,CESSNA,CE-402,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,UNKNOWN,0,0,AIRLINE TRANSPORT,25800.0,750.0
1705,20060921019279I,BOSTON,AIRBUS,A320,SCHEDULED AIR CARRIER,FOREIGN AIR CARRIER,INSTRUMENT FLIGHT RULES,0,0,,2824.522308892356,547.8739469578783
1706,20060926019689I,BEVERLY,ABC,A-60,OTHER,GENERAL OPERATING RULES,UNKNOWN,0,0,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,12000.0,5000.0
1707,20060928019859I,NANTUCKET,CESSNA,CE-402,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,UNKNOWN,0,0,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,13350.0,10000.0
1708,20060929020449I,BOSTON,MCDONNELL-DOUGLAS-BOEING,MD-80,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,2,AIRLINE TRANSPORT,11450.0,4727.0
1709,20061209027129I,BEDFORD,LEARJET-BOMBARDIER,LEARJET 60,AIR TAXI (NON-SCHEDULED),AIR TAXI/COMMUTER,UNKNOWN,0,0,AIRLINE TRANSPORT,6125.0,1870.0
1710,20061225025889I,BOSTON,AIRBUS,A319,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,39,AIRLINE TRANSPORT,11680.0,547.8739469578783
1711,20070128001489I,ORANGE,YAKOVLEV,YAK-52,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,0,0,PRIVATE PILOT,623.0,380.0
1712,20070204000979I,NANTUCKET,CESSNA,CE-402,AIR TAXI (NON-SCHEDULED),AIR TAXI/COMMUTER,UNKNOWN,0,0,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,19075.0,475.0
1713,20070330003549I,HYANNIS,CESSNA,CE-414,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,0,0,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,16000.0,150.0
1714,20070330004239I,PLYMOUTH,PIPER,PA-24,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,0,0,COMMERCIAL PILOT FLIGHT INSTRUCTOR,1894.0,250.0
1715,20070331003539I,LAWRENCE,CESSNA,CE-305,INSTRUCTION,GENERAL OPERATING RULES,UNKNOWN,0,0,COMMERCIAL PILOT FLIGHT INSTRUCTOR,17000.0,40.0
1716,20070414016929I,SOUTHBRIDGE,STNSON,SR-108,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,0,0,PRIVATE PILOT,583.0,298.0
1717,20070521006739I,BEVERLY,CESSNA,CITATIONJET (C525),OTHER,GENERAL OPERATING RULES,UNKNOWN,0,0,,2824.522308892356,547.8739469578783
1718,20070525015389I,NORTHAMPTON,PIPER,PA-J3C,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,0,1,PRIVATE PILOT,200.0,17.0
1719,20070606008869I,PLYMOUTH,PIPER,PA-24,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,0,0,COMMERCIAL PILOT,5300.0,100.0
1720,20070620011589I,BOSTON,EMBRAER,ERJ-135,SUPPLEMENTAL OR COMMERCIAL OPERATOR,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,6900.0,2342.0
1721,20070707020299I,VINEYARD HAVEN,PIPER,PA-34,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,0,0,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,2950.0,575.0
1722,20070811016529I,BOSTON,MCDONNELL-DOUGLAS-BOEING,DC-10,ALL CARGO CARRIERS,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,15000.0,6000.0
1723,20070817017449I,LAWRENCE,PIPER,PA-31,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,0,0,COMMERCIAL PILOT FLIGHT INSTRUCTOR,4000.0,500.0
1724,20070820016469I,BEVERLY,PIPER,PA-28,INSTRUCTION,GENERAL OPERATING RULES,UNKNOWN,0,0,STUDENT,26.0,26.0
1725,20070822023679I,NEW BEDFORD,CESSNA,CE-402,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,UNKNOWN,0,0,,2824.522308892356,547.8739469578783
1726,20070826018419I,BOSTON,BOEING,777,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,,2824.522308892356,547.8739469578783
1727,20070903017849I,CHATHAM,CESSNA,CE-195,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,0,0,PRIVATE PILOT,371.0,82.0
1728,20070903830309I,STERLING,NAVION,NAVION,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,PRIVATE PILOT,1070.0,400.0
1729,20070909019119I,TYNGSBORO,CESSNA,CE-150,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,0,0,PRIVATE PILOT,242.0,7.0
1730,20070913824929I,NORWOOD,CESSNA,CE-172,INSTRUCTION,GENERAL OPERATING RULES,UNKNOWN,0,0,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,3000.0,300.0
1731,20070918021049I,BOSTON,MCDONNELL-DOUGLAS-BOEING,MD-80,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,,2824.522308892356,547.8739469578783
1732,20070921021539I,WESTPORT,CAMRON,CAMRON-N-160,FOR HIRE,GENERAL OPERATING RULES,UNKNOWN,0,1,COMMERCIAL PILOT,2000.0,2000.0
1733,20070929021059I,BEDFORD,LEARJET-BOMBARDIER,LEARJET 60,AIR TAXI (NON-SCHEDULED),AIR TAXI/COMMUTER,UNKNOWN,0,0,AIRLINE TRANSPORT,10300.0,110.0
1734,20071026826269I,LAKEVILLE,LAKE,LA-4,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,0,0,PRIVATE PILOT,1412.0,430.0
1735,20071117827349I,VINEYARD HAVEN,ISRAEL AIRCRAFT INDUSTRIES,GULFSTREAM G200,AIR TAXI (NON-SCHEDULED),GENERAL OPERATING RULES,UNKNOWN,0,0,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,12000.0,1427.0
1736,20071117828219I,LAWRENCE,PIPER,PA-32,INSTRUCTION,GENERAL OPERATING RULES,UNKNOWN,0,0,COMMERCIAL PILOT FLIGHT INSTRUCTOR,2300.0,35.0
1737,20071204826839I,NANTUCKET,CESSNA,CE-402,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,UNKNOWN,0,0,COMMERCIAL PILOT,1425.0,203.0
1738,20080224013329I,WORCESTER,CESSNA,CITATIONJET (C525),PERSONAL,GENERAL OPERATING RULES,UNKNOWN,0,0,PRIVATE PILOT,2450.0,960.0
1739,20080229011869I,BEDFORD,PIPER,PA-44,OTHER,GENERAL OPERATING RULES,UNKNOWN,0,0,COMMERCIAL PILOT FLIGHT INSTRUCTOR,636.0,37.0
1740,20080303012519I,NEW BEDFORD,MAULE,M-4,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,0,0,PRIVATE PILOT,663.0,187.0
1741,20080305831689I,NANTUCKET,CESSNA,CE-402,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,UNKNOWN,0,0,AIRLINE TRANSPORT,3680.0,1000.0
1742,20080326012369I,BOSTON,CESSNA,CE-402,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,UNKNOWN,0,0,AIRLINE TRANSPORT,16355.0,1939.0
1743,20080407837679I,,PIPER,PA-34,OTHER,GENERAL OPERATING RULES,UNKNOWN,0,0,COMMERCIAL PILOT FLIGHT INSTRUCTOR,3000.0,160.0
1744,20080420833149I,BOSTON,MCDONNELL-DOUGLAS-BOEING,MD-80,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,,2824.522308892356,547.8739469578783
1745,20080423831859I,MANSFIELD,CESSNA,CE-152,INSTRUCTION,GENERAL OPERATING RULES,UNKNOWN,0,0,STUDENT,30.0,30.0
1746,20080507833349I,NEWBURYPORT,,,,GENERAL OPERATING RULES,UNKNOWN,0,0,,2824.522308892356,547.8739469578783
1747,20080509833049I,HYANNIS,CESSNA,CE-402,AIR TAXI (NON-SCHEDULED),AIR TAXI/COMMUTER,UNKNOWN,0,0,COMMERCIAL PILOT FLIGHT INSTRUCTOR,1508.0,58.0
1748,20080529834629I,PLYMOUTH,PIPER,PA-28R,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,0,0,COMMERCIAL PILOT,285.0,18.0
1749,20080621834619I,VINEYARD HAVEN,BELL,BHT-206,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,0,0,AIRLINE TRANSPORT,15081.0,200.0
1750,20080624834599I,NANTUCKET,SWEARINGEN-FAIRCHILD,SA-226,EXECUTIVE,GENERAL OPERATING RULES,UNKNOWN,0,0,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,15560.0,2025.0
1751,20080711840239I,LAWRENCE,PIPER,PA-28,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,0,0,PRIVATE PILOT,120.0,110.0
1752,20080725846819I,,PIPER,PA-28,,GENERAL OPERATING RULES,UNKNOWN,0,0,PRIVATE PILOT,942.0,427.0
1753,20080727841259I,VINEYARD HAVEN,NAVION,NAV-A,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,0,0,COMMERCIAL PILOT,4000.0,3500.0
1754,20080809845729I,NORWOOD,LAKE,LA-4,,GENERAL OPERATING RULES,UNKNOWN,0,0,PRIVATE PILOT,1842.0,174.0
1755,20080820844209I,MARSHFIELD,PIPER,PA-46,,GENERAL OPERATING RULES,UNKNOWN,0,0,PRIVATE PILOT,2800.0,400.0
1756,20080821843349I,BEVERLY,VANS,RV-9,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,0,0,PRIVATE PILOT,1800.0,154.0
1757,20080830844789I,BOSTON,CESSNA,CE-402,,AIR TAXI/COMMUTER,UNKNOWN,0,0,AIRLINE TRANSPORT,1950.0,340.0
1758,20080915845209I,NANTUCKET,CESSNA,CE-414,,AIR TAXI/COMMUTER,UNKNOWN,0,0,COMMERCIAL PILOT,3725.0,220.0
1759,20080918849129I,BEDFORD,ROBSIN,R-44,,PILOT SCHOOLS,UNKNOWN,0,0,,750.0,65.0
1760,20081002849159I,FITCHBURG,CESSNA,CE-210,,GENERAL OPERATING RULES,UNKNOWN,0,0,COMMERCIAL PILOT,3512.0,172.0
1761,20081204852469I,NANTUCKET,CESSNA,CE-402,,AIR TAXI/COMMUTER,,0,0,AIRLINE TRANSPORT,5000.0,2000.0
1762,20081218852719I,NORWOOD,CIRRUS,CIRRUS-SR,,GENERAL OPERATING RULES,,0,0,COMMERCIAL PILOT,2700.0,50.0
1763,20081226853439I,NORWOOD,PIPER,PA-28R,,GENERAL OPERATING RULES,,0,0,PRIVATE PILOT,168.0,35.0
1764,20081231853419I,BOSTON,BOEING,767,,AIR CARRIER/COMMERCIAL,,0,0,,2824.522308892356,547.8739469578783
1765,20090105000049I,BOSTON,MCDONNELL-DOUGLAS-BOEING,DC-9,,AIR CARRIER/COMMERCIAL,,0,0,,2824.522308892356,547.8739469578783
1766,20090123000209I,BOSTON,SHORTS-BOMBARDIER,360,,AIR TAXI/COMMUTER,,0,0,,2824.522308892356,547.8739469578783
1767,20090130000559I,PLYMOUTH,PIPER,PA-28R,,GENERAL OPERATING RULES,,0,0,COMMERCIAL PILOT,270.0,20.0
1768,20090212001349I,NANTUCKET,CESSNA,CE-402,,AIR TAXI/COMMUTER,,0,0,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,7500.0,4500.0
1769,20090216000879I,MANSFIELD,PIPER,PA-23,,GENERAL OPERATING RULES,,0,0,COMMERCIAL PILOT FLIGHT INSTRUCTOR,1700.0,50.0
1770,20090220004129I,WORCESTER,SKRSKY,S-76,,GENERAL OPERATING RULES,UNKNOWN,0,0,,2824.522308892356,547.8739469578783
1771,20090222001379I,BOSTON,EMBRAER,ERJ-145,,AIR CARRIER/COMMERCIAL,,0,0,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,7100.0,5703.0
1772,20090307004139I,,PIPER,PA-32,,GENERAL OPERATING RULES,UNKNOWN,0,0,PRIVATE PILOT,4318.0,4207.0
1773,20090315005569I,WORCESTER,PIPER,PA-28,,GENERAL OPERATING RULES,UNKNOWN,0,0,PRIVATE PILOT,580.0,547.8739469578783
1774,20090425005249I,MANSFIELD,MOONEY,M-20,,GENERAL OPERATING RULES,UNKNOWN,0,0,PRIVATE PILOT,1510.0,1200.0
1775,20090427005789I,NANTUCKET,CESSNA,CE-402,,AIR TAXI/COMMUTER,UNKNOWN,0,0,,2824.522308892356,547.8739469578783
1776,20090516006509I,BOSTON,DE HAVILLAND-BOMBARDIER,DASH 8,,AIR CARRIER/COMMERCIAL,UNKNOWN,0,1,AIRLINE TRANSPORT,4100.0,300.0
1777,20090520010739I,SOUTHBRIDGE,EXTRA,EXTRA-EA,,GENERAL OPERATING RULES,UNKNOWN,0,0,COMMERCIAL PILOT,1200.0,350.0
1778,20090530010349I,WORCESTER,PIPER,PA-28R,,GENERAL OPERATING RULES,UNKNOWN,0,0,PRIVATE PILOT,243.0,10.0
1779,20090618008299I,BOSTON,AIRBUS,A320,,GENERAL OPERATING RULES,UNKNOWN,0,0,COMMERCIAL PILOT,17400.0,6783.0
1780,20090706009929I,NEWBURYPORT,BLANCA,BL-14,,GENERAL OPERATING RULES,UNKNOWN,0,0,PRIVATE PILOT,300.0,140.0
1781,20090717012119I,PLYMOUTH,STNSON,SR-108,,GENERAL OPERATING RULES,UNKNOWN,0,0,PRIVATE PILOT,268.0,11.0
1782,20090725012309I,,CESSNA,CE-402,,AIR TAXI/COMMUTER,UNKNOWN,0,0,AIRLINE TRANSPORT,3850.0,2400.0
1783,20090730048059I,STERLING,PIPER,PA-25,,GENERAL OPERATING RULES,,0,0,COMMERCIAL PILOT,507.0,1.0
1784,20090816025389I,NANTUCKET,PIPER,PA-32,,GENERAL OPERATING RULES,,0,0,PRIVATE PILOT,1500.0,1400.0
1785,20090831017479I,NANTUCKET,CESSNA,CE-402,,AIR TAXI/COMMUTER,UNKNOWN,0,0,AIRLINE TRANSPORT,2800.0,900.0
1786,20090903049139I,MARTHAS VINEYARD,PIPER,PA-28RT,,GENERAL OPERATING RULES,,0,0,PRIVATE PILOT,1800.0,1800.0
1787,20090907049089I,NEW BEDFORD,CESSNA,CE-402,,AIR TAXI/COMMUTER,,0,0,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,3500.0,1200.0
1788,20090930019179I,NEW BEDFORD,LEARJET-BOMBARDIER,LEARJET 45,,GENERAL OPERATING RULES,UNKNOWN,0,0,AIRLINE TRANSPORT,10000.0,350.0
1789,20091019050569I,WORCESTER,AVIAT,AVIAT-A,,GENERAL OPERATING RULES,,0,0,PRIVATE PILOT,190.0,190.0
1790,20091121052219I,HYANNIS,CESSNA,CE-402,,AIR TAXI/COMMUTER,,0,0,,2824.522308892356,547.8739469578783
1791,20091125052269I,NORWOOD,DIAMOND,DIAMOND-40,,GENERAL OPERATING RULES,,0,0,,2824.522308892356,547.8739469578783
1792,20100108025789I,,EMBRAER,ERJ-145,,AIR CARRIER/COMMERCIAL,,0,0,,2824.522308892356,547.8739469578783
1793,20100201026619I,BOSTON,CESSNA,CE-402,,AIR TAXI/COMMUTER,,0,0,AIRLINE TRANSPORT,15000.0,9000.0
1794,20100307028669I,PITTSFIELD,AVIAT,AVIAT-A,,GENERAL OPERATING RULES,,0,0,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,1715.0,122.0
1795,20100307030569I,FALMOUTH,AMERICAN LEGEND,AL-11,,GENERAL OPERATING RULES,,0,0,COMMERCIAL PILOT,2130.0,103.0
1796,20100315029239I,,CESSNA,CE-402,,AIR TAXI/COMMUTER,,0,0,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,3300.0,2500.0
1797,20100316029419I,NEW BEDFORD,SNIAS,SA-330,,GENERAL OPERATING RULES,,0,0,AIRLINE TRANSPORT,2670.0,54.0
1798,20100402030679I,GREAT BARRINGTON,PIPER,PA-28,,GENERAL OPERATING RULES,,0,0,PRIVATE PILOT,205.0,19.0
1799,20100403005009I,STERLING,SCHLER,ASW-20,,GENERAL OPERATING RULES,,0,0,PRIVATE PILOT,1214.0,735.0
1800,20100403030709I,FITCHBURG,PIPER,PA-28,,GENERAL OPERATING RULES,,0,0,STUDENT,24.0,24.0
1801,20100410032069I,NORWOOD,CESSNA,CE-172,,GENERAL OPERATING RULES,,0,0,PRIVATE PILOT,208.0,154.0
1802,20100424032229I,NANTUCKET,LANCAIR,LC-320,,GENERAL OPERATING RULES,,0,0,COMMERCIAL PILOT,3600.0,1117.0
1803,20100502032889I,SOUTHBRIDGE,PIPER,PA-28R,,GENERAL OPERATING RULES,,0,0,PRIVATE PILOT,291.0,180.0
1804,20100522005639I,BOSTON,CESSNA,CE-402,,AIR TAXI/COMMUTER,,0,0,,2824.522308892356,547.8739469578783
1805,20100608036629I,NANTUCKET,CESSNA,CE-402,,AIR TAXI/COMMUTER,,0,0,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,4900.0,2000.0
1806,20100618036829I,,CESSNA,CE-402,,AIR TAXI/COMMUTER,,0,0,AIRLINE TRANSPORT,791.0,792.0
1807,20100628041069I,VINEYARD HAVEN,PIPER,PA-31,,GENERAL OPERATING RULES,,0,0,COMMERCIAL PILOT,19000.0,4000.0
1808,20100711038499I,WESTFIELD,WACO,WACO-UPF,,GENERAL OPERATING RULES,,0,0,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,15706.0,258.0
1809,20100717037669I,BERKLEY,LUSCMB,LL-8,,GENERAL OPERATING RULES,,0,0,PRIVATE PILOT,800.0,500.0
1810,20100721038419I,VINEYARD HAVEN,CESSNA,CE-402,,AIR TAXI/COMMUTER,,0,0,AIRLINE TRANSPORT,5000.0,1969.0
1811,20100726039199I,HYANNIS,CESSNA,CE-402,,AIR TAXI/COMMUTER,,0,0,AIRLINE TRANSPORT,5500.0,2500.0
1812,20100726041139I,VINEYARD HAVEN,PIPER,PA-28,,GENERAL OPERATING RULES,,0,0,PRIVATE PILOT,132.0,132.0
1813,20100918044279I,MARLBOROUGH,PIPER,PA-J3C,,GENERAL OPERATING RULES,,0,0,PRIVATE PILOT,280.0,160.0
1814,20101002048339I,EDGARTOWN,PIPER,PA-28R,,GENERAL OPERATING RULES,,0,0,COMMERCIAL PILOT FLIGHT INSTRUCTOR,1700.0,200.0
1815,20101009046979I,VINEYARD HAVEN,CESSNA,CE-172,,GENERAL OPERATING RULES,,0,0,PRIVATE PILOT,80.0,80.0
1816,20101129051139I,HYANNIS,CESSNA,CE-402,,AIR TAXI/COMMUTER,,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
1817,20101204052739I,BOSTON,MBB,BK117,,AIR TAXI/COMMUTER,,0,0,AIRLINE TRANSPORT,4465.0,533.0
1818,20110314003299I,FITCHBURG,CESSNA,CE-182,,GENERAL OPERATING RULES,,0,0,COMMERCIAL PILOT,9151.0,250.0
1819,20110502007629I,CHICOPEE,RUTAN,LONGEZ,,GENERAL OPERATING RULES,,0,0,PRIVATE PILOT,1300.0,26.0
1820,20110612011749I,HYANNIS,CESSNA,CE-402,,AIR TAXI/COMMUTER,,0,0,AIRLINE TRANSPORT,11700.0,5700.0
1821,20110626017591I,WESTFIELD,CESSNA,CE-172,,GENERAL OPERATING RULES,,0,0,PRIVATE PILOT,1440.0,1200.0
1822,20110730017839I,BEDFORD,PIPER,PA-28R,,GENERAL OPERATING RULES,,0,0,COMMERCIAL PILOT,331.0,68.0
1823,20110812018009I,PLYMOUTH,SOCATA,TBM-700,,GENERAL OPERATING RULES,,0,0,PRIVATE PILOT,1220.0,50.0
1824,20110818018119I,BEDFORD,PIPER,PA-28,,GENERAL OPERATING RULES,,0,0,PRIVATE PILOT,95.0,90.0
1825,20110822019429I,BEDFORD,AVIAT,AVIAT-A,,GENERAL OPERATING RULES,,0,0,PRIVATE PILOT,350.0,350.0
1826,20110901021559I,BOSTON,EMBRAER,190,,AIR CARRIER/COMMERCIAL,,0,1,,2824.522308892356,547.8739469578783
1827,20110903018459I,FITCHBURG,GLASAIR,GS-2,,GENERAL OPERATING RULES,,0,0,PRIVATE PILOT,600.0,80.0
1828,20110906021509I,EAST BOSTON,ISRAEL AIRCRAFT INDUSTRIES,GULFSTREAM G200,,AIR TAXI/COMMUTER,,0,0,AIRLINE TRANSPORT,18000.0,1300.0
1829,20111002023659I,BOSTON,AIRBUS,A340,,FOREIGN AIR CARRIER,,0,7,UNKNOWN/FOREIGN,16000.0,788.0
1830,20111112026159I,LAWRENCE,CESSNA,CE-172,,GENERAL OPERATING RULES,,0,0,PRIVATE PILOT,89.0,77.0
1831,20111129027149I,NANTUCKET,CESSNA,CE-402,,GENERAL OPERATING RULES,,0,0,AIRLINE TRANSPORT,35000.0,2000.0
1832,20120128000879I,BOSTON,CESSNA,CE-402,,AIR TAXI/COMMUTER,,0,0,COMMERCIAL PILOT FLIGHT INSTRUCTOR,5500.0,4700.0
1833,20120313003129I,NEW BEDFORD,BEECH,BE-58,,GENERAL OPERATING RULES,,0,0,COMMERCIAL PILOT,4638.0,532.0
1834,20120512008759I,CHATHAM,CESSNA,CE-182,,GENERAL OPERATING RULES,,0,0,PRIVATE PILOT,457.0,7.0
1835,20120519008511I,,CESSNA,CE-172,,GENERAL OPERATING RULES,,0,0,PRIVATE PILOT,111.0,50.0
1836,20120611010229I,,CESSNA,CE-172,,GENERAL OPERATING RULES,,0,0,AIRLINE TRANSPORT,4000.0,200.0
1837,20120623012909I,PROVINCETOWN,PIPER,PA-28,,GENERAL OPERATING RULES,,0,0,PRIVATE PILOT,518.0,250.0
1838,20120709011749I,MARLBORO,PIPER,PA-28,,GENERAL OPERATING RULES,,0,0,PRIVATE PILOT,159.0,85.0
1839,20120709018359I,FALMOUTH,PIPER,PA-28R,,GENERAL OPERATING RULES,,0,0,COMMERCIAL PILOT,1360.0,150.0
1840,20120711015239I,MANSFIELD,CIRRUS,CIRRUS-SR,,GENERAL OPERATING RULES,,0,0,PRIVATE PILOT,61.0,61.0
1841,20120725015329I,CHATHAM,CESSNA,CE-182,,PARACHUTE JUMPING,,0,1,,2824.522308892356,547.8739469578783
1842,20120819017089I,MANSFIELD,CESSNA,CE-162,,GENERAL OPERATING RULES,,0,0,STUDENT,97.0,70.0
1843,20120824018829I,FALMOUTH,MOONEY,M-20,,GENERAL OPERATING RULES,,0,0,COMMERCIAL PILOT,1600.0,1000.0
1844,20120831026359I,NANTUCKET,CESSNA,CE-402,,AIR TAXI/COMMUTER,,0,0,COMMERCIAL PILOT FLIGHT INSTRUCTOR,2450.0,65.0
1845,20120903024419I,VINEYARD HAVEN,PIPER,PA-31,,AIR TAXI/COMMUTER,,0,0,COMMERCIAL PILOT FLIGHT INSTRUCTOR,2824.522308892356,547.8739469578783
1846,20121001023499I,LAWRENCE,CESSNA,CE-210,,GENERAL OPERATING RULES,,0,0,PRIVATE PILOT,750.0,108.0
